UTLA19CD,UTLA19NM,Week number,deaths
E06000001,Hartlepool,1,0
E06000002,Middlesbrough,1,0
E06000003,Redcar and Cleveland,1,0
E06000004,Stockton-on-Tees,1,0
E06000005,Darlington,1,0
E06000006,Halton,1,0
E06000007,Warrington,1,0
E06000008,Blackburn with Darwen,1,0
E06000009,Blackpool,1,0
E06000010,"Kingston upon Hull, City of",1,0
E06000011,East Riding of Yorkshire,1,0
E06000012,North East Lincolnshire,1,0
E06000013,North Lincolnshire,1,0
E06000014,York,1,0
E06000015,Derby,1,0
E06000016,Leicester,1,0
E06000017,Rutland,1,0
E06000018,Nottingham,1,0
E06000019,"Herefordshire, County of",1,0
E06000020,Telford and Wrekin,1,0
E06000021,Stoke-on-Trent,1,0
E06000022,Bath and North East Somerset,1,0
E06000023,"Bristol, City of",1,0
E06000024,North Somerset,1,0
E06000025,South Gloucestershire,1,0
E06000026,Plymouth,1,0
E06000027,Torbay,1,0
E06000030,Swindon,1,0
E06000031,Peterborough,1,0
E06000032,Luton,1,0
E06000033,Southend-on-Sea,1,0
E06000034,Thurrock,1,0
E06000035,Medway,1,0
E06000036,Bracknell Forest,1,0
E06000037,West Berkshire,1,0
E06000038,Reading,1,0
E06000039,Slough,1,0
E06000040,Windsor and Maidenhead,1,0
E06000041,Wokingham,1,0
E06000042,Milton Keynes,1,0
E06000043,Brighton and Hove,1,0
E06000044,Portsmouth,1,0
E06000045,Southampton,1,0
E06000046,Isle of Wight,1,0
E06000047,County Durham,1,0
E06000049,Cheshire East,1,0
E06000050,Cheshire West and Chester,1,0
E06000051,Shropshire,1,0
E06000052,Cornwall,1,0
E06000053,Isles of Scilly,1,0
E06000054,Wiltshire,1,0
E06000055,Bedford,1,0
E06000056,Central Bedfordshire,1,0
E06000057,Northumberland,1,0
E06000058,"Bournemouth, Christchurch and Poole",1,0
E06000059,Dorset,1,0
E10000002,Buckinghamshire,1,0
E10000003,Cambridgeshire,1,0
E10000006,Cumbria,1,0
E10000007,Derbyshire,1,0
E10000008,Devon,1,0
E10000011,East Sussex,1,0
E10000012,Essex,1,0
E10000013,Gloucestershire,1,0
E10000014,Hampshire,1,0
E10000015,Hertfordshire,1,0
E10000016,Kent,1,0
E10000017,Lancashire,1,0
E10000018,Leicestershire,1,0
E10000019,Lincolnshire,1,0
E10000020,Norfolk,1,0
E10000021,Northamptonshire,1,0
E10000023,North Yorkshire,1,0
E10000024,Nottinghamshire,1,0
E10000025,Oxfordshire,1,0
E10000027,Somerset,1,0
E10000028,Staffordshire,1,0
E10000029,Suffolk,1,0
E10000030,Surrey,1,0
E10000031,Warwickshire,1,0
E10000032,West Sussex,1,0
E10000034,Worcestershire,1,0
E08000001,Bolton,1,0
E08000002,Bury,1,0
E08000003,Manchester,1,0
E08000004,Oldham,1,0
E08000005,Rochdale,1,0
E08000006,Salford,1,0
E08000007,Stockport,1,0
E08000008,Tameside,1,0
E08000009,Trafford,1,0
E08000010,Wigan,1,0
E08000011,Knowsley,1,0
E08000012,Liverpool,1,0
E08000013,St. Helens,1,0
E08000014,Sefton,1,0
E08000015,Wirral,1,0
E08000016,Barnsley,1,0
E08000017,Doncaster,1,0
E08000018,Rotherham,1,0
E08000019,Sheffield,1,0
E08000021,Newcastle upon Tyne,1,0
E08000022,North Tyneside,1,0
E08000023,South Tyneside,1,0
E08000024,Sunderland,1,0
E08000025,Birmingham,1,0
E08000026,Coventry,1,0
E08000027,Dudley,1,0
E08000028,Sandwell,1,0
E08000029,Solihull,1,0
E08000030,Walsall,1,0
E08000031,Wolverhampton,1,0
E08000032,Bradford,1,0
E08000033,Calderdale,1,0
E08000034,Kirklees,1,0
E08000035,Leeds,1,0
E08000036,Wakefield,1,0
E08000037,Gateshead,1,0
E09000001,City of London,1,0
E09000002,Barking and Dagenham,1,0
E09000003,Barnet,1,0
E09000004,Bexley,1,0
E09000005,Brent,1,0
E09000006,Bromley,1,0
E09000007,Camden,1,0
E09000008,Croydon,1,0
E09000009,Ealing,1,0
E09000010,Enfield,1,0
E09000011,Greenwich,1,0
E09000012,Hackney,1,0
E09000013,Hammersmith and Fulham,1,0
E09000014,Haringey,1,0
E09000015,Harrow,1,0
E09000016,Havering,1,0
E09000017,Hillingdon,1,0
E09000018,Hounslow,1,0
E09000019,Islington,1,0
E09000020,Kensington and Chelsea,1,0
E09000021,Kingston upon Thames,1,0
E09000022,Lambeth,1,0
