Google,ONS,ONS Code,cases,deaths,pop,total
Aberdeen City,,NA,NA,NA,NA,4
Aberdeenshire,,NA,NA,NA,NA,4
Angus council,,NA,NA,NA,NA,4
Antrim And Newtownabbey,,NA,NA,NA,NA,4
Ards And North Down,,NA,NA,NA,NA,4
Argyll and Bute Council,,NA,NA,NA,NA,4
"Armagh City, Banbridge And Craigavon",,NA,NA,NA,NA,4
Bath and North East Somerset,Bath and North East Somerset,E06000022,E06000022,E06000022,E06000022,0
Bedford,Bedford,E06000055,E06000055,E06000055,E06000055,0
Belfast,,NA,NA,NA,NA,4
Blackburn with Darwen,Blackburn with Darwen,E06000008,E06000008,E06000008,E06000008,0
Blackpool,Blackpool,E06000009,E06000009,E06000009,E06000009,0
Blaenau Gwent,Blaenau Gwent,W06000019,NA,W06000019,W06000019,1
Borough of Halton,Halton,E06000006,E06000006,E06000006,E06000006,0
Bracknell Forest,Bracknell Forest,E06000036,E06000036,E06000036,E06000036,0
Bridgend County Borough,Bridgend,W06000013,NA,W06000013,W06000013,1
Brighton and Hove,Brighton and Hove,E06000043,E06000043,E06000043,E06000043,0
Buckinghamshire,Buckinghamshire,E10000002,E10000002,E10000002,E10000002,0
Caerphilly County Borough,Caerphilly,W06000018,NA,W06000018,W06000018,1
Cambridgeshire,Cambridgeshire,E10000003,E10000003,E10000003,E10000003,0
Cardiff,Cardiff,W06000015,NA,W06000015,W06000015,1
Carmarthenshire,Carmarthenshire,W06000010,NA,W06000010,W06000010,1
Causeway Coast and Glens,,NA,NA,NA,NA,4
Central Bedfordshire,Central Bedfordshire,E06000056,E06000056,E06000056,E06000056,0
Ceredigion,Ceredigion,W06000008,NA,W06000008,W06000008,1
Cheshire East,Cheshire East,E06000049,E06000049,E06000049,E06000049,0
Cheshire West and Chester,Cheshire West and Chester,E06000050,E06000050,E06000050,E06000050,0
City of Bristol,"Bristol, City of",E06000023,E06000023,E06000023,E06000023,0
Clackmannanshire,,NA,NA,NA,NA,4
Conwy Principal Area,Conwy,W06000003,NA,W06000003,W06000003,1
Cornwall,Cornwall,E06000052,E06000052,E06000052,E06000052,0
County Durham,County Durham,E06000047,E06000047,E06000047,E06000047,0
Cumbria,Cumbria,E10000006,E10000006,E10000006,E10000006,0
Darlington,Darlington,E06000005,E06000005,E06000005,E06000005,0
Denbighshire,Denbighshire,W06000004,NA,W06000004,W06000004,1
Derby,Derby,E06000015,E06000015,E06000015,E06000015,0
Derbyshire,Derbyshire,E10000007,E10000007,E10000007,E10000007,0
Derry And Strabane,,NA,NA,NA,NA,4
Devon,Devon,E10000008,E10000008,E10000008,E10000008,0
Dorset,Dorset,E06000059,E06000059,E06000059,E06000059,0
Dumfries and Galloway,,NA,NA,NA,NA,4
